Shards,Payload(Bytes),CrossRate,Transacoes,TPS,Latencia(ms)
3,4096,0.1,4000,4212.17,585.51
3,4096,0.2,4000,4689.14,445.66
3,4096,0.3,4000,4111.20,493.78
4,40,0,4000,10899.38,147.33
4,40,0.1,4000,5462.21,423.92
4,40,0.2,4000,5056.03,416.65
4,40,0.3,4000,5261.12,456.74
4,200,0,4000,11107.63,206.03
4,200,0.1,4000,8307.65,232.95
4,200,0.2,4000,5802.66,443.21
4,200,0.3,4000,3943.21,470.64
4,1024,0,4000,10132.73,265.86
4,1024,0.1,4000,8421.86,301.16
4,1024,0.2,4000,4609.11,449.74
4,1024,0.3,4000,5474.02,427.74
4,4096,0,4000,8587.72,308.72
4,4096,0.1,4000,6497.24,322.31
4,4096,0.2,4000,4561.53,487.06
4,4096,0.3,4000,3376.69,490.03
